employee_id,first_name,last_name,email,phone,hire_date,termination_date,store_id,job_title
1,Ananya,Mishra,ananya.mishra@gmail.com,+91-6449814228,2023-08-29,,6468,Store Manager
2,Kiara,Das,kiara.das@croma.in,+91-9538173276,2022-09-25,,10730,Inventory Executive
3,Ira,Kulkarni,ira.kulkarni@croma.in,+91-7401902425,2022-01-15,,11273,Visual Merchandiser
4,Arjun,Yadav,arjun.yadav@yahoo.in,+91-9539952100,2019-12-11,,5739,Store Manager
5,Arjun,Shetty,arjun.shetty@yahoo.in,+91-9362638731,2022-07-11,,5492,Inventory Executive
6,Sara,Iyer,sara.iyer@gmail.com,+91-6879502726,2021-05-20,,9731,Cashier
7,Ira,Das,ira.das@gmail.com,+91-6038584619,2021-05-22,,10656,Assistant Manager
8,Pari,Reddy,pari.reddy@outlook.com,+91-9083619988,2019-05-10,,1995,Assistant Manager
9,Vivaan,Sharma,vivaan.sharma@yahoo.in,+91-8665068972,2020-11-10,,6881,Cashier
10,Aditya,Gowda,aditya.gowda@outlook.com,+91-7859915087,2024-05-27,,8998,Cashier
11,Aarav,Reddy,aarav.reddy@croma.in,+91-8031556183,2024-08-13,,1707,Sales Associate
12,Vihaan,Chopra,vihaan.chopra@gmail.com,+91-8452720456,2025-04-14,,6507,Assistant Manager
13,Vihaan,Yadav,vihaan.yadav@gmail.com,+91-9636907269,2022-12-12,,6155,Customer Support
14,Rudra,Kulkarni,rudra.kulkarni@gmail.com,+91-6475447987,2025-01-30,,11602,Store Manager
15,Krishna,Sharma,krishna.sharma@gmail.com,+91-7708211712,2019-06-05,,10642,Store Manager
16,Sai,Sharma,sai.sharma@yahoo.in,+91-6609996869,2023-05-26,,6988,Customer Support
17,Ishaan,Gowda,ishaan.gowda@gmail.com,+91-8850681290,2020-08-09,,10740,Assistant Manager
18,Myra,Sharma,myra.sharma@outlook.com,+91-7151850147,2025-03-05,,4430,Inventory Executive
19,Vihaan,Khan,vihaan.khan@outlook.com,+91-7125863986,2020-08-19,,4646,Store Manager
20,Myra,Das,myra.das@gmail.com,+91-7938555432,2019-12-02,,3334,Cashier
21,Sara,Chopra,sara.chopra@gmail.com,+91-6489506692,2020-09-09,,2387,Cashier
22,Vivaan,Kulkarni,vivaan.kulkarni@gmail.com,+91-8110909846,2023-11-14,,4419,Inventory Executive
